"IP","Hostname","OS","TTL","Status"
"192.168.1.8","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.9","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.10","monitoring.local","Windows (TTL=128)","128","Alive"
"192.168.1.11","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.18","KM9EE30A","Cisco/Other (TTL=255)","255","Alive"
"192.168.1.20","SVAROG-OFFICE","Windows (TTL=128)","128","Alive"
"192.168.1.41","buhinteko.local","Windows (TTL=128)","128","Alive"
"192.168.1.43","1C-FILESERVER-2","Windows (TTL=128)","128","Alive"
"192.168.1.47","vit-pc-office-1.local","Windows (TTL=128)","128","Alive"
"192.168.1.50","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.51","SERVER_TECH.local","Windows (TTL=128)","128","Alive"
"192.168.1.52","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.54","vit-pc-office-2.local","Windows (TTL=128)","128","Alive"
"192.168.1.55","Unknown","Cisco/Other (TTL=255)","255","Alive"
"192.168.1.56","Unknown","Cisco/Other (TTL=255)","255","Alive"
"192.168.1.57","Tech3","Windows (TTL=128)","128","Alive"
"192.168.1.60","INTEKO-TECH1.local","Windows (TTL=128)","128","Alive"
"192.168.1.63","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.75","DESKTOP-3KMMG5D.local","Windows (TTL=128)","128","Alive"
"192.168.1.86","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.89","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.95","fileserver","Windows (TTL=128)","128","Alive"
"192.168.1.106","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.109","WIN-C2D71GUDLVR","Windows (TTL=128)","128","Alive"
"192.168.1.111","DESKTOP-QKFB19N","Windows (TTL=128)","128","Alive"
"192.168.1.120","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.121","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.123","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.124","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.125","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.128","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.129","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.132","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.133","DESKTOP-FFVT2Q3","Windows (TTL=128)","128","Alive"
"192.168.1.137","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.138","DESKTOP-AIS9G55.local","Windows (TTL=128)","128","Alive"
"192.168.1.139","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.140","Unknown","Cisco/Other (TTL=255)","255","Alive"
"192.168.1.141","VIDEOSTENA.local","Windows (TTL=128)","128","Alive"
"192.168.1.143","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.144","Unknown","Cisco/Other (TTL=255)","255","Alive"
"192.168.1.145","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.147","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.155","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.156","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.158","DESKTOP-KSORCV7.local","Windows (TTL=128)","128","Alive"
"192.168.1.172","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.182","WIN-81837QL372B","Windows (TTL=128)","128","Alive"
"192.168.1.188","WIN-UB61731BEHL","Windows (TTL=128)","128","Alive"
"192.168.1.190","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.197","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.198","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.201","Unknown","Linux/Unix (TTL=32)","32","Alive"
"192.168.1.202","Unknown","Cisco/Other (TTL=255)","255","Alive"
"192.168.1.203","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.207","svarog","Windows (TTL=128)","128","Alive"
"192.168.1.210","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.213","root-NK","Windows (TTL=128)","128","Alive"
"192.168.1.238","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.239","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.240","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.246","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.247","NPI0E1DA8","Cisco/Other (TTL=255)","255","Alive"
"192.168.1.248","KM295ACF","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.249","KM8E96C2","Cisco/Other (TTL=255)","255","Alive"
"192.168.1.250","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.251","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.252","Unknown","Linux/Unix (TTL=64)","64","Alive"
"192.168.1.253","Unknown","Linux/Unix (TTL=64)","64","Alive"
